#ICAO,Reg,Owner,Type
43C38F,ZA947,Battle of Britiain Memorial Flight,C47A Dakota
43C38D,WG846,Battle of Britiain Memorial Flight,DHC1 Chipmunk T10
43C38E,WG518,Battle of Britiain Memorial Flight,DHC1 Chipmunk T10
43C392,PA474,Battle of Britiain Memorial Flight,Avro Lancaster B1
43C393,P7350,Battle of Britiain Memorial Flight,Spitfire Iia
43C394,AB910,Battle of Britiain Memorial Flight,Spitfire LFVb
43C395,MK356,Battle of Britiain Memorial Flight,Spitfire LFIXe
43C396,TE311,Battle of Britiain Memorial Flight,Spitfire LFIXe
43C397,PM631,Battle of Britiain Memorial Flight,Spitfire PRXIX
43C398,PS915,Battle of Britiain Memorial Flight,Spitfire PRXIX
43C390,LF363,Battle of Britiain Memorial Flight,Hurricane Iic
43C391,PZ865,Battle of Britiain Memorial Flight,Hurricane Iic
