$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category,$#Link
502C5C,YL-KSH,Baltic Bees display team,Aero L-39C Albatross,L39,Civ,Do A Barrel Roll,Display Team,Aerobatics,Aerobatic Teams,https://en.wikipedia.org/wiki/Baltic_Bees_Jet_Team
511049,ES-YLR,Breitling Team,Aero L-39C Albatross,L39,Civ,Do A Barrel Roll,Display Team,Aerobatics,Aerobatic Teams,https://www.breitling.com/gb-en/partnerships/breitling-jet-team
511047,ES-YLF,Breitling Team,Aero L-39C Albatross,L39,Civ,Do A Barrel Roll,Display Team,Aerobatics,Aerobatic Teams,https://www.breitling.com/gb-en/partnerships/breitling-jet-team
AD63CB,N962CE,Everts Air Cargo,McDonnell Douglas MD80,MD83,Civ,Tactical Departure,Cargo,My Other Plane Is A F15,Aerobatic Teams,https://youtu.be/O16Oqo51hI0?t=273
404772,G-ZZLE,Gazelle Squadron Display Team,Aerospatiale Gazelle SA31B,GAZL,Civ,Do A Barrel Roll,Chopper,Whirly Bird,Aerobatic Teams,https://gazellesquadron.co.uk/node/homepage
401075,G-ZZEL,Gazelle Squadron Display Team,Aerospatiale Gazelle SA31B,GAZL,Civ,Do A Barrel Roll,Chopper,Whirly Bird,Aerobatic Teams,https://gazellesquadron.co.uk/node/homepage
407315,G-IIIF,Red Bull Matadors,Xtremeair Sbach XA-41,XA41,Civ,Do A Barrel Roll,Display Team,Aerobatics,Aerobatic Teams,http://www.matadorsaerobaticteam.com
407316,G-IIFI,Red Bull Matadors,Xtremeair Sbach XA-41,XA41,Civ,Do A Barrel Roll,Display Team,Aerobatics,Aerobatic Teams,http://www.matadorsaerobaticteam.com
40749C,G-JPIT,Rich Goodwin,Pitts Special S-2S (Modified),PTS2,Civ,Jet Engine,Display Team,Aerobatics,Aerobatic Teams,https://www.richgoodwinairshows.com/jet-pitts
4021BB,G-EWIZ,Rich Goodwin,Pitts Special S-2SE,PTS2,Civ,Biplane,Display Team,Aerobatics,Aerobatic Teams,https://en.wikipedia.org/wiki/Pitts_Special
40655A,G-ZXLL,The Blades,Extra EA-300,E300,Civ,Do A Barrel Roll,Display Team,Aerobatics,Aerobatic Teams,https://theblades.com
400E22,G-ZEXL,The Blades,Extra EA-300,E300,Civ,Do A Barrel Roll,Display Team,Aerobatics,Aerobatic Teams,https://theblades.com
400E21,G-ZXEL,The Blades,Extra EA-300,E300,Civ,Do A Barrel Roll,Display Team,Aerobatics,Aerobatic Teams,https://theblades.com
400E20,G-ZXCL,The Blades,Extra EA-300,E300,Civ,Do A Barrel Roll,Display Team,Aerobatics,Aerobatic Teams,https://theblades.com
400E1F,G-OFFO,The Blades,Extra EA-300,E300,Civ,Do A Barrel Roll,Display Team,Aerobatics,Aerobatic Teams,https://theblades.com
AE6963,170000,The Blue Angels,C-130J Super Hercules,C30J,Mil,Fat Albert,Display Team,Aerobatics,Aerobatic Teams,https://www.blueangels.navy.mil
4405CD,OE-CKW,The Flying Bulls,Aviat Husky,HUSK,Civ,Already Has Wings,Display Team,Aerobatics,Aerobatic Teams,https://www.flyingbulls.at/en
4408E8,OE-ADM,The Flying Bulls,Beech T-34 Mentor,T34P,Civ,Already Has Wings,Display Team,Aerobatics,Aerobatic Teams,https://www.flyingbulls.at/en
4405EB,OE-XDM,The Flying Bulls,Bell 47G-3B-1,B47G,Civ,Chopper,Display Team,Aerobatics,Aerobatic Teams,https://www.flyingbulls.at/en
A02A6D,N11FX,The Flying Bulls,Bell Cobra TAH-1F,HUCO,Civ,Chopper,Display Team,Aerobatics,Aerobatic Teams,https://www.flyingbulls.at/en
44042B,OE-AMM,The Flying Bulls,Boeing Stearman PT-17,ST75,Civ,Already Has Wings,Display Team,Aerobatics,Aerobatic Teams,https://www.flyingbulls.at/en
44066E,OE-XSY,The Flying Bulls,Bristol 171 Sycamore,SYCA,Civ,Alright Me Baber,Display Team,Aerobatics,Aerobatic Teams,https://www.flyingbulls.at/en
440264,OE-EDM,The Flying Bulls,Cessna 208 Caravan Amphibian,C208,Civ,Already Has Wings,Display Team,Aerobatics,Aerobatic Teams,https://www.flyingbulls.at/en
ADD6B1,N991DM,The Flying Bulls,Cessna 337 Skymaster,C337,Civ,Already Has Wings,Display Team,Aerobatics,Aerobatic Teams,https://www.flyingbulls.at/en
4407C0,OE-GDM,The Flying Bulls,Cessna Citation Encore,C560,Civ,Already Has Wings,Display Team,Aerobatics,Aerobatic Teams,https://www.flyingbulls.at/en
4400C7,OE-IDM,The Flying Bulls,Dassault Falcon 900EX,F900,Civ,Already Has Wings,Display Team,Aerobatics,Aerobatic Teams,https://www.flyingbulls.at/en
440836,OE-FDM,The Flying Bulls,Dassault-Breguet Alpha Jet,AJET,Civ,Already Has Wings,Display Team,Aerobatics,Aerobatic Teams,https://www.flyingbulls.at/en
4407F5,OE-FAS,The Flying Bulls,Dassault-Breguet Alpha Jet,AJET,Civ,Already Has Wings,Display Team,Aerobatics,Aerobatic Teams,https://www.flyingbulls.at/en
4407F4,OE-FRB,The Flying Bulls,Dassault-Breguet Alpha Jet,AJET,Civ,Already Has Wings,Display Team,Aerobatics,Aerobatic Teams,https://www.flyingbulls.at/en
3E1CEA,D-ICDM,The Flying Bulls,Dassault-Breguet Alpha Jet,AJET,Civ,Already Has Wings,Display Team,Aerobatics,Aerobatic Teams,https://www.flyingbulls.at/en
4406BC,OE-LDM,The Flying Bulls,Douglas DC-6B,DC6,Civ,Already Has Wings,Display Team,Aerobatics,Aerobatic Teams,https://www.flyingbulls.at/en
440886,OE-ETV,The Flying Bulls,Eurocopter AS350 Squirrel,AS50,Civ,Chopper,Display Team,Aerobatics,Aerobatic Teams,https://www.flyingbulls.at/en
44018B,OE-XFB,The Flying Bulls,Eurocopter EC135,EC35,Civ,Chopper,Display Team,Aerobatics,Aerobatic Teams,https://www.flyingbulls.at/en
440383,OE-CRB,The Flying Bulls,Extra EA-300,E300,Civ,Already Has Wings,Display Team,Aerobatics,Aerobatic Teams,https://www.flyingbulls.at/en
A64B8C,N50429,The Flying Bulls,Fairchild PT-19,FA62,Civ,Already Has Wings,Display Team,Aerobatics,Aerobatic Teams,https://www.flyingbulls.at/en
A2574B,N25Y,The Flying Bulls,Lockheed P-38 Lightning,P38,Civ,Already Has Wings,Display Team,Aerobatics,Aerobatic Teams,https://www.flyingbulls.at/en
3E07CA,D-HUDM,The Flying Bulls,MBB Bo 105C,B105,Civ,Chopper,Display Team,Aerobatics,Aerobatic Teams,https://www.flyingbulls.at/en
3E0526,D-HTDM,The Flying Bulls,MBB Bo 105C,B105,Civ,Chopper,Display Team,Aerobatics,Aerobatic Teams,https://www.flyingbulls.at/en
3E0282,D-HSDM,The Flying Bulls,MBB Bo 105C,B105,Civ,Chopper,Display Team,Aerobatics,Aerobatic Teams,https://www.flyingbulls.at/en
A7F8F0,N6123C,The Flying Bulls,North American B-25J Mitchell,B25,Civ,Already Has Wings,Display Team,Aerobatics,Aerobatic Teams,https://www.flyingbulls.at/en
440322,OE-ESA,The Flying Bulls,North American T-28B,T28,Civ,Already Has Wings,Display Team,Aerobatics,Aerobatic Teams,https://www.flyingbulls.at/en
440136,OE-EMD,The Flying Bulls,Pilatus PC-6,PC6T,Civ,Already Has Wings,Display Team,Aerobatics,Aerobatic Teams,https://www.flyingbulls.at/en
