#ICAO,Ident,Operator,Type
43C2B2,ZZ416,14 Squadron ISR (RAF),Shadow R1
43C61D,ZZ504,14 Squadron ISR (RAF),Shadow R1
43C908,ZZ507,14 Squadron ISR (RAF),Shadow R1
406C5D,G-OSRB,2 Excel Aviation,Boeing 727 2S2F
43C125,ZG997,651 Squadron (Joint Special Forces Aviation Wing),Britten-Norman Defender R.2
43C129,ZG998,651 Squadron (Joint Special Forces Aviation Wing),Britten-Norman Defender R.2
43C2B7,ZH001,651 Squadron (Joint Special Forces Aviation Wing),Britten-Norman Defender R.2
43C388,ZG848,651 Squadron (Joint Special Forces Aviation Wing),Islander R1
43C435,XX280,736 Naval Air Squadron,Hawk T1a
43C439,XX285,736 Naval Air Squadron,Hawk T1a
43C463,XX339,736 Naval Air Squadron,Hawk T1a
394A60,F-GSTA,Airbus Transport International,A300 B4-608ST Beluga
394A62,F-GSTC,Airbus Transport International,A300 B4-608ST Beluga
394A63,F-GSTD,Airbus Transport International,A300 B4-608ST Beluga
394A65,F-GSTF,Airbus Transport International,A300 B4-608ST Beluga
3E3AB8,D-INKY,Airgo Flugservice,Piaggio P-180 Avanti II
50801C,UR-82008,Antonov Airlines,Antonov An-124 100M-150
43C261,ZJ204,Army Air Corps,Westland WAH-64D Apache AH1
A3301A,N304VS,Calspan Corporation,Gates Learjet 25G
50822D,UR-CNN,Cavok Air,Antonov An-12 B
406C1B,G-CNWL,Cornwall Air Ambulance,Bell MD-900 Explorer
407152,G-DSAA,Dorset and Somerset Air Ambulance,Leonardo AW169
40740C,G-ETPE,Empire Test Pilots School,Airbus Helicopters Squirrel AS.350 B3
405F81,A7AAG,Government of Qatar,A320-232
43C925,G-GWAC,Great Western Air Ambulance,Eurocopter EC135 T2+
A9E51E,XE688,Hawker Hunter Aviation,Hunter T.72
406DDB,N737AT,Hillwood Airways,Boeing 737NG BBJ
406DE9,G-MCGJ,HM Coast Guard,Sikorsky S-92A
407814,G-MCGT,HM Coastguard,AgustaWestland AW.189
403BAB,G-HMGA,HM Coastguard,Beechcraft King Air B200
4CA41D,G-LEAF,HM Coastguard (Reconnaissance Ventures Ltd),Cessna F406 Caravan II
406C65,282,Irish Air Corps,Pilatus PC-XII Spectre
AA0DB8,G-JWMA ,Martin Baker Aircraft,Gloster Meteor T7
ACD5A1,N747NA,NASA,Boeing 747 SP21
ACD958,N926NA,NASA,WB-57F Canberra
ACDD0F,N927NA,NASA,WB-57F Canberra
405588,N928NA,NASA,WB-57F Canberra
40472C,G-RIDA,National Grid Electricity Transmission,Eurocopter Twin Squirrel AS.355 NP
406343,G-CPAS,National Police Air Service,Eurocopter EC135 P2+
40481E,G-HEOI,National Police Air Service,Eurocopter EC135 P2+
4062D2,G-NWOI,National Police Air Service,Eurocopter EC135 P2+
40639D,G-POLG,National Police Air Service,Eurocopter EC135 P2+
400A64,G-TVHB,National Police Air Service,Eurocopter EC135 P2+
4077FC,G-POLV,National Police Air Service,Vulcanair P.68R
A6E07B,N804X,Northrop Grumman Systems,Bombardier CRJ-700
A9E60B,N542MP,Pans UK Holdings Ltd,Honda Jet
43EAE1,N737LE,Polaris Aviation Solutions,Boeing 737NG BBJ
06A01C,M-ETAL,Private,Piaggio P-180 Avanti II
407315,A7-HJJ,Qatar Amiri Flight,Airbus A330 202
43C811,XX327,RAF Centre of Aviation Medicine / Qinetiq,Hawk T1
43C818,G-IIIF,Red Bull Matadors,Xtremeair Sbach XA-41
43C45C,G-EWIZ,Rich Goodwin,Pitts Special S-2SE
43C54F,ZZ336,Royal Air Force,Airbus Voyager KC.3
