ICAO,Ident,Operator,Type,#CMPG,$Tag,#$Tag2,Category
498422,2801,Czech Air Force,Airbus A319-115CJ,Mil,Czech Air Force,Not a bus,Other Air Forces
477FF7,607,Hungarian Air Force,Dassault Falcon 7X,Mil,Hungarian Air Force,VIP,Other Air Forces
AE04F2,84-00162,US Army,Beechcraft C-12U-3 Huron,Mil,USAF,Not so VIP,USAF
AE0136,97-00105,US Military,UC-35A Citation,Mil,USAF,VIP,USAF
AE04AB,99-00102,US Army,Cessna UC-35A Citation Ultra,Mil,USAF,VIP,USAF
3E0A3E,D-HVBQ,Bundespolizei,Eurocopter EC135 T2+,Pol,Freeze,Chopper,Police Forces
AE293B,07-8614,US Military,C-130J Super Hercules,Mil,Tag1,Heavy Duty,USAF
4680D1,HAF352C,Hellenic Air Force,Embraer ERJ-135,Mil,Hellenic Air Force,VIP,Other Air Forces
3F727C,54+08,German Air Force,A400M,Mil,Luftwaffe,Heavy Duty,Other Air Forces
3F7588,54+09,German Air Force,A400M,Mil,Luftwaffe,Heavy Duty,Other Air Forces
3F79F9,54+07,German Air Force,A400M,Mil,Luftwaffe,Heavy Duty,Other Air Forces
3E9BF7,54+02,German Air Force,A400M,Mil,Luftwaffe,Heavy Duty,Other Air Forces
3EA1CC,54+04,German Air Force,A400M,Mil,Luftwaffe,Heavy Duty,Other Air Forces
3EA653,54+05,German Air Force,A400M,Mil,Luftwaffe,Heavy Duty,Other Air Forces
3F4368,54+01,German Air Force,A400M,Mil,Luftwaffe,Heavy Duty,Other Air Forces
3F7001,54+06,German Air Force,A400M,Mil,Luftwaffe,Heavy Duty,Other Air Forces
3F551D,15+02,German Air Force,ACJ319 133X,Mil,Luftwaffe,Not a bus,Other Air Forces
3F8517,10+23,German Air Force,A310 304,Mil,Luftwaffe,Not a bus,Other Air Forces
3F8518,10+24,German Air Force,A310 304,Mil,Luftwaffe,Not a bus,Other Air Forces
3F8519,10+25,German Air Force,A310 304,Mil,Luftwaffe,Not a bus,Other Air Forces
3F851A,10+26,German Air Force,A310 304F,Mil,Luftwaffe,Not a bus,Other Air Forces
3F851B,10+27,German Air Force,A310 304,Mil,Luftwaffe,Not a bus,Other Air Forces
3F7DC1,15+01,German Air Force,ACJ319 133X,Mil,Luftwaffe,Not a bus,Other Air Forces
3E8E96,,German Air Force,A400M,Mil,Luftwaffe,Heavy Duty,Other Air Forces
3E89E7,16+02,German Air Force,A340 313X,Mil,Luftwaffe,Not a bus,Other Air Forces
3EA048,5426,German Air Force,A400M,Mil,Luftwaffe,Heavy Duty,Other Air Forces
3EB1A6,16+01,German Air Force,A340 313X,Mil,Luftwaffe,Not a bus,Other Air Forces
3F6682,54+11,German Air Force,A400M,Mil,Luftwaffe,Heavy Duty,Other Air Forces
3E95CA,14+05,German Air Force,Global 6000,Mil,Luftwaffe,VIP,Other Air Forces
3F64F6,54+21,German Air Force,A400M,Mil,Luftwaffe,Danger Zone,Zoomies
3F6533,14+03,German Air Force,Global 5000,Mil,Luftwaffe,VIP,Other Air Forces
3F7D5E,46+51,German Air Force,Panavia Tornado ECR,Mil,Luftwaffe,Danger Zone,Zoomies
3F8F06,30+06,German Air Force,Typhoon,Mil,Luftwaffe,Danger Zone,Zoomies
3F8F0A,30+10,German Air Force,Typhoon T,Mil,Luftwaffe,Danger Zone,Zoomies
3F8F0B,30+11,German Air Force,Typhoon,Mil,Luftwaffe,Danger Zone,Zoomies
3F8F0C,30+12,German Air Force,Typhoon,Mil,Luftwaffe,Danger Zone,Zoomies
3F8F0E,30+14,German Air Force,Typhoon T,Mil,Luftwaffe,Danger Zone,Zoomies
3F9591,43+45,German Air Force,Tornado IDS(T),Mil,Luftwaffe,Danger Zone,Zoomies
