ICAO,Ident,Operator,Type,CMPG,#$Tag 1,#$Tag 2,Category
89621F,A6DLM,Abu Dhabi Amiri Flight,Airbus A320232,Gov,Dictator Alert,,Dictator Alert
8960B1,A6AUH,Abu Dhabi Amiri Flight,Boeing 737NG8EXBBJ2,Gov,Dictator Alert,,Dictator Alert
896060,A6YAS,Abu Dhabi Amiri Flight,Boeing 747 4F6,Gov,Dictator Alert,,Dictator Alert
896101,A6UAE,Abu Dhabi Amiri Flight,Boeing 747-48E(M),Gov,Dictator Alert,,Dictator Alert
8962E9,A6PFA,Abu Dhabi Amiri Flight,Boeing 747-8Z5,Gov,Dictator Alert,,Dictator Alert
896264,A6ALN,Abu Dhabi Amiri Flight,Boeing 7772ANER,Gov,Dictator Alert,,Dictator Alert
89629F,A6SIL,Abu Dhabi Amiri Flight,Boeing 77735RER,Gov,Dictator Alert,,Dictator Alert
89636E,A6PFC,Abu Dhabi Amiri Flight,Boeing 787-8,Gov,Dictator Alert,,Dictator Alert
78048C,B-6130,Air China,Airbus A330-243,Gov,Dictator Alert,,Dictator Alert
7BC006,B-2479,Air China,Boeing 747-89L,Gov,Dictator Alert,,Dictator Alert
72779A,P-885,Air Koryo,Ilyushin IL-62M,Gov,Dictator Alert,Kim Jong-un,Dictator Alert
00415C,Z-WPE,Air Zimbabwe,Boeing 767-2N0(ER),Gov,Dictator Alert,,Dictator Alert
00412D,Z-WPF,Air Zimbabwe,Boeing 767-2N0(ER),Gov,Dictator Alert,,Dictator Alert
600801,4K-8888,Azerbaijan Government,Airbus A319-115(CJ),Gov,Dictator Alert,,Dictator Alert
894014,A9CHMK,Bahrain Amiri Flight,Boeing 747-4P8,Gov,Dictator Alert,,Dictator Alert
89404D,A9CHMH,Bahrain Amiri Flight,Boeing 767-4FSER,Gov,Dictator Alert,,Dictator Alert
894055,A9CBHR,Bahrain Amiri Flight,Gulfstream Aerospace G450,Gov,Dictator Alert,,Dictator Alert
894060,A9CBRN,Bahrain Amiri Flight,Gulfstream Aerospace G550,Gov,Dictator Alert,,Dictator Alert
89407F,A9CBAH,Bahrain Amiri Flight,Gulfstream Aerospace G650,Gov,Dictator Alert,,Dictator Alert
894001,A9CBRF,Bahrain Amiri Flight,Gulfstream Aerospace G650,Gov,Dictator Alert,,Dictator Alert
894042,A9CAWL,Bahrain Defence Force,Avro 146-RJ100,Gov,Dictator Alert,,Dictator Alert
894011,A9CBDF,Bahrain Defence Force,Avro 146-RJ85,Gov,Dictator Alert,,Dictator Alert
894016,A9CHWR,Bahrain Defence Force,Avro 146-RJ85,Gov,Dictator Alert,,Dictator Alert
894081,A9CISA,Bahrain Defence Force,Boeing 737-NG86JW,Gov,Dictator Alert,,Dictator Alert
152A60,RA-76384,CEIBA Cargo,Ilyushin IL-76TD-90VD,Gov,Dictator Alert,Vladimir Putin,Dictator Alert
495238,CSTQX,Ceiba Intercontinental,Boeing 7772FBLR,Gov,Dictator Alert,,Dictator Alert
0D80AE,YV1004,Conviasa,Airbus A340211,Gov,Dictator Alert,,Dictator Alert
0D81EC,YV3016,Conviasa,Embraer EMB-190STD,Gov,Dictator Alert,,Dictator Alert
0D8373,YV2984,Conviasa/ Venezuelan Government,Airbus A319-133X,Gov,Dictator Alert,,Dictator Alert
09A042,C5NBB,Corporate,Canadair CL-600-2B16 Challenger 601-3A,Gov,Dictator Alert,,Dictator Alert
AA3410,N757AF,DJT Operations,Boeing 757-200,Civ,Orange Danger,Original Nuttah,Dictator Alert
A9B67C,N725DT,DT Endeavour,CESSNA 750,Civ,Orange Danger,Original Nuttah,Dictator Alert
8961DB,A6RJ1,Dubai Air Wing,Avro 146RJ85,Gov,Dictator Alert,,Dictator Alert
8961DC,A6RJ2,Dubai Air Wing,Avro 146RJ85,Gov,Dictator Alert,,Dictator Alert
89605A,A6HRS,Dubai Air Wing,Boeing 737NG7E0BBJ,Gov,Dictator Alert,,Dictator Alert
896103,A6HEH,Dubai Air Wing,Boeing 737NG8AJBBJ2,Gov,Dictator Alert,,Dictator Alert
89615A,A6MRS,Dubai Air Wing,Boeing 737NG8E0BBJ2,Gov,Dictator Alert,,Dictator Alert
89607A,A6MRM,Dubai Air Wing,Boeing 737NG8ECBBJ2,Gov,Dictator Alert,,Dictator Alert
896430,A6FZZ,Dubai Air Wing,Boeing 737NG8KNWBBJ2,Gov,Dictator Alert,,Dictator Alert
896272,A6GGP,Dubai Air Wing,Boeing 747412F,Gov,Dictator Alert,,Dictator Alert
8960B4,A6HRM,Dubai Air Wing,Boeing 747422,Gov,Dictator Alert,,Dictator Alert
8960AE,A6MMM,Dubai Air Wing,Boeing 747422,Gov,Dictator Alert,,Dictator Alert
8961B4,A6COM,Dubai Air Wing,Boeing 747433SCD,Gov,Dictator Alert,,Dictator Alert
89652F,A6-HHH,Dubai Air Wing,Gulfstream Aerospace G650,Mil,Dictator Alert,Bizjet,Dictator Alert
896438,A6HHH,Dubai Air Wing,Gulfstream G650,Gov,Dictator Alert,,Dictator Alert
0428DD,3C-LLX,Ebony Shine International,Gulfstream Aerospace GV,Gov,Dictator Alert,,Dictator Alert
896302,A6CJE,Emirates Airline,Airbus ACJ319115,Gov,Dictator Alert,,Dictator Alert
4850BE,P4RMA,Gen Haftar Libya private lease,Mystere Falcon 900,Gov,Dictator Alert,,Dictator Alert
485920,PHGOV,Gov of NL Royal Fam Jet,Boeing 737600BBJ,Gov,Dictator Alert,,Dictator Alert
40013D,VP-BAT,Goverment of Qatar,Boeing 747SP-21,Gov,Dictator Alert,,Dictator Alert
0A402D,7TVPP,Government of Algeria,Airbus A340541,Gov,Dictator Alert,,Dictator Alert
0A404C,7TVPE,Government of Algeria,Avionsde Transport Regional ATR72600,Gov,Dictator Alert,,Dictator Alert
0A404D,7TVPF,Government of Algeria,Avionsde Transport Regional ATR72600,Gov,Dictator Alert,,Dictator Alert
0A4009,7TVPC,Government of Algeria,Gulfstream Aerospace GIVSP,Gov,Dictator Alert,,Dictator Alert
0A400A,7TVPM,Government of Algeria,Gulfstream Aerospace GIVSP,Gov,Dictator Alert,,Dictator Alert
0A4005,7TVPR,Government of Algeria,Gulfstream Aerospace GIVSP,Gov,Dictator Alert,,Dictator Alert
0A4006,7TVPS,Government of Algeria,Gulfstream Aerospace GIVSP,Gov,Dictator Alert,,Dictator Alert
0A400B,7TVPG,Government of Algeria,Gulfstream Aerospace GV,Gov,Dictator Alert,,Dictator Alert
0900B5,D2-EEB,Government of Angola,Bombardier Dash 8-Q402,Gov,Dictator Alert,,Dictator Alert
