$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category,$#Link,#ImageLink,#ImageLink2,#ImageLink3,#ImageLink4
004006,Z-WSG,Medical Air Rescue Service P/L,B200 Super King Air,BE20,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.lpr.com.pl/en/home-page/,https://cdn.jetphotos.com/full/5/36248_1586769474.jpg,https://cdn.jetphotos.com/full/6/32555_1557850699.jpg,,
008034,ZS-ABJ,Geotech Airborne Surveys,Pacific Aerospace PAC750XL,P750,Civ,Aerial Survey,Measuring Stick,Trundle Wheel,Ptolemy would be proud,https://www.geotech.ca/,https://cdn.jetphotos.com/full/6/52599_1612957027.jpg,https://cdn.jetphotos.com/full/6/93262_1612250576.jpg,,
00817D,ZS-AOA,Netcare 911 Aeromedical,BAe 125,H25B,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.netcare911.co.za/,https://cdn.jetphotos.com/full/5/73901_1634052031.jpg,https://cdn.jetphotos.com/full/5/74655_1633451216.jpg,https://cdn.jetphotos.com/full/6/12335_1609425981.jpg,
0081F2,ZS-ASN,Spectrem 2000 Microsurvey,Douglas DC-3 BT-67,DC3T,Civ,Weather Recon,Turboprop,Rejuvenated,Dogs with Jobs,https://cdn.jetphotos.com/full/2/42922_1255822940.jpg,https://cdn.jetphotos.com/full/5/93767_1618685350.jpg,https://cdn.jetphotos.com/full/5/30583_1617903561.jpg,https://cdn.jetphotos.com/full/5/65086_1602492669.jpg,
00861E,ZS-CHP,Private,DHC-1 Chipmunk 22,DHC1,Civ,Air Experience Flight,Jump Johnny Jump,Air Training Corps,Jump Johnny Jump,https://youtu.be/JMz_gONS8X0,,,,
0086DC,ZS-COX,Private,DHC-1 Chipmunk 22,DHC1,Civ,Air Experience Flight,Jump Johnny Jump,Air Training Corps,Jump Johnny Jump,https://youtu.be/JMz_gONS8X0,https://cdn.jetphotos.com/full/5/74492_1570555553.jpg,https://cdn.jetphotos.com/full/1/95738_1105630490.jpg,https://cdn.jetphotos.com/full/2/66854_1080170096.jpg,
008AEF,ZS-EDA,Netcare 911 Aeromedical,Cessna Citation SII,C551,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.netcare911.co.za/,https://cdn.jetphotos.com/full/4/51873_1362936352.jpg,https://cdn.jetphotos.com/full/1/63503_1221828695.jpg,https://cdn.jetphotos.com/full/1/85570_1183367648.jpg,
0098C5,ZS-JJG,Private,DHC-1 Chipmunk 22,DHC1,Civ,Air Experience Flight,Jump Johnny Jump,Air Training Corps,Jump Johnny Jump,https://youtu.be/JMz_gONS8X0,https://cdn.jetphotos.com/full/6/78728_1568144970.jpg,https://cdn.jetphotos.com/full/5/66122_1472318215.jpg,,
0098D0,ZS-JJR,Private,DHC-1 Chipmunk 22,DHC1,Civ,Air Experience Flight,Jump Johnny Jump,Air Training Corps,Jump Johnny Jump,https://youtu.be/JMz_gONS8X0,,,,
00996E,ZS-JPT,Private,DHC-1 Chipmunk 22,DHC1,Civ,Air Experience Flight,Jump Johnny Jump,Air Training Corps,Jump Johnny Jump,https://youtu.be/JMz_gONS8X0,https://cdn.jetphotos.com/full/1/62794_1150282880.jpg,https://cdn.jetphotos.com/full/2/13860_1080179449.jpg,,
