$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category,$#Link,#ImageLink,#ImageLink2,#ImageLink3,#ImageLink4
06A0D8,A7-CEE,Qatar Executive,Bombardier Global 5000,GL5T,Gov,Man Made Climate Change,Private Airline,Climate Crisis,Bizjets,https://www.qatarexec.com.qa,https://cdn.jetphotos.com/full/6/53339_1639387657.jpg,https://cdn.jetphotos.com/full/5/27207_1638021090.jpg,https://cdn.jetphotos.com/full/6/27194_1633463158.jpg,
06A133,A7-CEI,Qatar Executive,Bombardier Global 5000,GL5T,Gov,Man Made Climate Change,Private Airline,Climate Crisis,Bizjets,https://www.qatarexec.com.qa,https://live.staticflickr.com/4913/45950290182_7a9eb204a0_h.jpg,https://cdn.jetphotos.com/full/6/13574_1642093318.jpg,https://cdn.jetphotos.com/full/6/76395_1641234151.jpg,
06A1F0,A7-TAA,Qatar Executive,Bombardier Global 6000,GLEX,Gov,Man Made Climate Change,Private Airline,Climate Crisis,Bizjets,https://www.qatarexec.com.qa,https://live.staticflickr.com/65535/32696503677_66b82b618f_h.jpg,https://cdn.jetphotos.com/full/6/16753_1638288251.jpg,https://cdn.jetphotos.com/full/6/81969_1582488975.jpg,
06A131,A7-CEF,Qatar Executive,Bombardier Global Express XRS,GLEX,Gov,Man Made Climate Change,Private Airline,Climate Crisis,Bizjets,https://www.qatarexec.com.qa,https://cdn.jetphotos.com/full/6/51257_1644801567.jpg,https://cdn.jetphotos.com/full/6/42519_1644747595.jpg,https://cdn.jetphotos.com/full/5/80753_1644570660.jpg,
06A1D1,A7-CGM,Qatar Executive,Gulfstream G650,GLF6,Gov,Man Made Climate Change,Private Airline,Climate Crisis,Bizjets,https://www.qatarexec.com.qa,https://cdn.jetphotos.com/full/6/74740_1645274258.jpg,https://cdn.jetphotos.com/full/5/56470_1639562076.jpg,,
06A1CE,A7-CGI,Qatar Executive,Gulfstream G650,GLF6,Gov,Man Made Climate Change,Private Airline,Climate Crisis,Bizjets,https://www.qatarexec.com.qa,https://live.staticflickr.com/65535/51832755927_c03c37df6c_k.jpg,https://cdn.jetphotos.com/full/6/65461_1642465584.jpg,,
75026D,9M-NAB,Royal Malaysian Air Force,Airbus A320-214,A320,Gov,Malaysia,Airbus Corporate Jet,Government,Governments,https://xkcd.com/1732/,https://cdn.jetphotos.com/full/5/54566_1643541491.jpg,https://cdn.jetphotos.com/full/5/90994_1641702126.jpg,https://cdn.jetphotos.com/full/5/51088_1641628864.jpg,
750156,9M-NAA,Royal Malaysian Air Force,Airbus ACJ319-115X,A319,Gov,Malaysia,Airbus Corporate Jet,Government,Governments,https://xkcd.com/1732/,https://cdn.jetphotos.com/full/6/17823_1620182041.jpg,https://cdn.jetphotos.com/full/6/55194_1619274504.jpg,https://cdn.jetphotos.com/full/6/30868_1617627983.jpg,
40729C,G-SCIR,2 Excel Aviation,Piper PA-31 Navajo C,PA31,Gov,Maritime Patrol,Search And Rescue,Mae West,Coastguard,https://en.wikipedia.org/wiki/Her_Majesty%27s_Coastguard,https://live.staticflickr.com/65535/51644058852_009957425a_k.jpg,https://live.staticflickr.com/65535/50567005842_f06b2a9c77_h.jpg,https://live.staticflickr.com/65535/52087031696_a298259386_k.jpg,
E2006C,GN-925,Argentine National Guard,EC135 T2,EC35,Gov,Maritime Patrol,Search And Rescue,Mae West,Coastguard,https://w.wiki/4mcb,https://cdn.jetphotos.com/full/5/79165_1560150357.jpg,https://cdn.jetphotos.com/full/1/30465_1241229820.jpg,https://cdn.jetphotos.com/full/2/75457_1144720039.jpg,
44B5AD,OO-MMM,Belgian Coast Guard,BN Islander 2A-21,BN2P,Gov,Maritime Patrol,Search And Rescue,Mae West,Coastguard,https://kwgc.be/en,https://cdn.jetphotos.com/full/6/77353_1640198169.jpg,https://cdn.jetphotos.com/full/6/14491_1604693194.jpg,https://cdn.jetphotos.com/full/5/88177_1474975041.jpg,
C04AB9,C-GCHS,Canadian Coast Guard,Bell 206L Long Ranger,B06,Gov,Maritime Patrol,Search And Rescue,Mae West,Coastguard,https://www.ccg-gcc.gc.ca/index-eng.html,,,,
C04AB8,C-GCHR,Canadian Coast Guard,Bell 206L Long Ranger,B06,Gov,Maritime Patrol,Search And Rescue,Mae West,Coastguard,https://www.ccg-gcc.gc.ca/index-eng.html,https://cdn.jetphotos.com/full/5/28912_1601945758.jpg,,,
C04AB3,C-GCHM,Canadian Coast Guard,Bell 206L Long Ranger,B06,Gov,Maritime Patrol,Search And Rescue,Mae West,Coastguard,https://www.ccg-gcc.gc.ca/index-eng.html,https://cdn.jetphotos.com/full/6/35325_1441301649.jpg,,,
C04AAC,C-GCHF,Canadian Coast Guard,Bell 212,B212,Gov,Maritime Patrol,Search And Rescue,Mae West,Coastguard,https://www.ccg-gcc.gc.ca/index-eng.html,https://cdn.jetphotos.com/full/2/27639_1179553529.jpg,https://cdn.jetphotos.com/full/1/13876_1111390964.jpg,https://cdn.jetphotos.com/full/2/55064_1111390804.jpg,
C04A8E,C-GCGB,Canadian Coast Guard,Bell 212,B212,Gov,Maritime Patrol,Search And Rescue,Mae West,Coastguard,https://www.ccg-gcc.gc.ca/index-eng.html,,,,
C00968,C-FDOP,Canadian Coast Guard,Bell 212,B212,Gov,Maritime Patrol,Search And Rescue,Mae West,Coastguard,https://www.ccg-gcc.gc.ca/index-eng.html,https://cdn.jetphotos.com/full/4/13254_1340550777.jpg,https://cdn.jetphotos.com/full/4/40093_1320960609.jpg,https://cdn.jetphotos.com/full/1/55409_1253369464.jpg,
