$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category,$#Link,#Image Link,#Image Link 2,#Image Link 3
4B42F2,HB-ZJE,AAA Alpine Air Ambulance,Eurocopter EC135 P1,EC35,Pol,Air Ambo,Medical Evac,Saving Lives,M*A*S*H,https://www.air-ambulance.ch/,cdn.jetphotos.com/full/6/36361_1635498067.jpg,cdn.jetphotos.com/full/5/47614_1585687066.jpg,
147134,RF-28980,Altai Police,Mil Mi-8,MI8,Pol,Police Squad,Ment,Copper Chopper,Police Forces,https://en.wikipedia.org/wiki/Altai_Krai_Police,,,
AB486E,N826PD,Anaheim Police Dept,Eurocopter AS350 Squirrel,AS50,Pol,Police Squad,The Cops,Copper Chopper,Police Forces,https://www.anaheim.net/171/Police-Department,,,
A385E3,N326PD,Anaheim Police Dept,Eurocopter AS350 Squirrel,AS50,Pol,Police Squad,The Cops,Copper Chopper,Police Forces,https://www.anaheim.net/171/Police-Department,cdn.jetphotos.com/full/6/74298_1491000061.jpg,cdn.jetphotos.com/full/4/58678_1374558140.jpg,
A1F894,N226PD,Anaheim Police Dept,Eurocopter AS350 Squirrel,AS50,Pol,Police Squad,The Cops,Copper Chopper,Police Forces,https://www.anaheim.net/171/Police-Department,,,
E0D48D,LQ-MRM,Argentine Federal Police,Cessna Citation I,C500,Pol,Police Squad,Policia,Surveillance,Police Forces,https://en.wikipedia.org/wiki/Argentine_Federal_Police,cdn.jetphotos.com/full/2/72254_1300781626.jpg,,
E085CE,LQ-HWN,Argentine Federal Police,Eurocopter EC135,EC35,Pol,Police Squad,Policia,Copper Chopper,Police Forces,https://en.wikipedia.org/wiki/Argentine_Federal_Police,cdn.jetphotos.com/full/6/90159_1629416697.jpg,cdn.jetphotos.com/full/6/91419_1592142238.jpg,
E06447,LQ-FQG,Argentine Federal Police,Eurocopter EC135 P1,EC35,Pol,Police Squad,Policia,Copper Chopper,Police Forces,https://en.wikipedia.org/wiki/Argentine_Federal_Police,cdn.jetphotos.com/full/6/74328_1587391577.jpg,,
E08581,LQ-HVA,Argentine Federal Police,Eurocopter EC145,EC45,Pol,Police Squad,Policia,Copper Chopper,Police Forces,https://en.wikipedia.org/wiki/Argentine_Federal_Police,cdn.jetphotos.com/full/5/26032_1540913170.jpg,,
E0240C,LV-BPL,Argentine Federal Police,Learjet 35A,LJ35,Pol,Police Squad,Policia,Bizjet,Police Forces,https://en.wikipedia.org/wiki/Argentine_Federal_Police,cdn.jetphotos.com/full/5/41870_1590997438.jpg,cdn.jetphotos.com/full/2/30274_1303685288.jpg,
E0A0D1,LQ-JCQ,Argentine Federal Police,Pilatus PC-12 47E,PC12,Pol,Police Squad,Policia,Surveillance,Police Forces,https://en.wikipedia.org/wiki/Argentine_Federal_Police,,,
E2002F,GN-807,Argentine Federal Police,Pilatus PC-6,PC6T,Pol,Police Squad,Policia,Surveillance,Police Forces,https://en.wikipedia.org/wiki/Argentine_Federal_Police,cdn.jetphotos.com/full/6/32564_1514569446.jpg,cdn.jetphotos.com/full/5/99375_1417115161.jpg,
E0A111,LQ-JDQ,Argentine Federal Police,Pilatus PC-6,PC6T,Pol,Police Squad,Policia,Surveillance,Police Forces,https://en.wikipedia.org/wiki/Argentine_Federal_Police,,,
