$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category,$#Link
0081A9,ZS-APS,South African Police Service,Pilatus PC-12 47,PC12,Pol,Police Squad,SAPS,Surveillance,Police Forces,https://w.wiki/B5xe
0093F5,ZS-HNW,South African Police Service,MBB Bo 105,B105,Pol,Police Squad,SAPS,Copper Chopper,Police Forces,https://w.wiki/B5xe
0093F6,ZS-HNX,South African Police Service,MBB Bo 105,B105,Pol,Police Squad,SAPS,Copper Chopper,Police Forces,https://w.wiki/B5xe
0093F7,ZS-HNY,South African Police Service,MBB Bo 105,B105,Pol,Police Squad,SAPS,Copper Chopper,Police Forces,https://w.wiki/B5xe
0093F8,ZS-HNZ,South African Police Service,MBB Bo 105,B105,Pol,Police Squad,SAPS,Copper Chopper,Police Forces,https://w.wiki/B5xe
00944D,ZS-HRG,South African Police Service,MBB Bo 105,B105,Pol,Police Squad,SAPS,Copper Chopper,Police Forces,https://w.wiki/B5xe
00944F,ZS-HRI,South African Police Service,MBB Bo 105,B105,Pol,Police Squad,SAPS,Copper Chopper,Police Forces,https://w.wiki/B5xe
009466,ZS-HSF,South African Police Service,MBB Bo 105,B105,Pol,Police Squad,SAPS,Copper Chopper,Police Forces,https://w.wiki/B5xe
009467,ZS-HSG,South African Police Service,MBB Bo 105,B105,Pol,Police Squad,SAPS,Copper Chopper,Police Forces,https://w.wiki/B5xe
0094AC,ZS-HUX,South African Police Service,MBB Bo 105,B105,Pol,Police Squad,SAPS,Copper Chopper,Police Forces,https://w.wiki/B5xe
0094AE,ZS-HUZ,South African Police Service,MBB Bo 105,B105,Pol,Police Squad,SAPS,Copper Chopper,Police Forces,https://w.wiki/B5xe
00A1AE,ZS-MSZ,South African Police Service,Pilatus PC-6,PC6T,Pol,Police Squad,SAPS,Surveillance,Police Forces,https://w.wiki/B5xe
00A346,ZS-NIR,South African Police Service,Pilatus PC-6,PC6T,Pol,Police Squad,SAPS,Surveillance,Police Forces,https://w.wiki/B5xe
00A347,ZS-NIS,South African Police Service,Pilatus PC-6,PC6T,Pol,Police Squad,SAPS,Surveillance,Police Forces,https://w.wiki/B5xe
00A348,ZS-NIT,South African Police Service,Pilatus PC-6,PC6T,Pol,Police Squad,SAPS,Surveillance,Police Forces,https://w.wiki/B5xe
00A349,ZS-NIU,South African Police Service,Pilatus PC-6,PC6T,Pol,Police Squad,SAPS,Surveillance,Police Forces,https://w.wiki/B5xe
00A34A,ZS-NIV,South African Police Service,Pilatus PC-6,PC6T,Pol,Police Squad,SAPS,Surveillance,Police Forces,https://w.wiki/B5xe
00A34B,ZS-NIW,South African Police Service,Pilatus PC-6,PC6T,Pol,Police Squad,SAPS,Surveillance,Police Forces,https://w.wiki/B5xe
00A34C,ZS-NIX,South African Police Service,Pilatus PC-6,PC6T,Pol,Police Squad,SAPS,Surveillance,Police Forces,https://w.wiki/B5xe
00A635,ZS-OLO,South African Police Service,Pilatus PC-6,PC6T,Pol,Police Squad,SAPS,Surveillance,Police Forces,https://w.wiki/B5xe
00AD0F,ZS-RBA,South African Police Service,MBB Bo 105,B105,Pol,Police Squad,SAPS,Copper Chopper,Police Forces,https://w.wiki/B5xe
00AD10,ZS-RBB,South African Police Service,MBB Bo 105,B105,Pol,Police Squad,SAPS,Copper Chopper,Police Forces,https://w.wiki/B5xe
00AD4A,ZS-RDH,South African Police Service,Eurocopter AS350 Squirrel,AS50,Pol,Police Squad,SAPS,Copper Chopper,Police Forces,https://tinyurl.com/bderr46j
00AD4C,ZS-RDJ,South African Police Service,Eurocopter AS350 Squirrel,AS50,Pol,Police Squad,SAPS,Copper Chopper,Police Forces,https://tinyurl.com/bderr46j
00AD7E,ZS-RFH,South African Police Service,MD 369,H500,Pol,Police Squad,SAPS,Copper Chopper,Police Forces,https://w.wiki/B5xe
00AD7F,ZS-RFI,South African Police Service,MD 369,H500,Pol,Police Squad,SAPS,Copper Chopper,Police Forces,https://w.wiki/B5xe
