$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category,$#Link,#ImageLink_x,#ImageLink2_x,#ImageLink3_x,#ImageLink4_x,#ImageLink_y,#ImageLink2_y,#ImageLink3_y,#ImageLink4_y
5080DC,UR-FSD,Fly Sky,Ilyushin IL-76TD,IL76,Civ,Asks No Questions,Arms Embargo,Fell Of The Back Of An Illyushin,Da Comrade,https://tinyurl.com/yt8u994n,,,,,https://cdn.jetphotos.com/full/6/55197_1634380145.jpg,https://cdn.jetphotos.com/full/5/65379_1633783225.jpg,https://cdn.jetphotos.com/full/5/26749_1625761023.jpg,
5083A1,UR-FSE,Fly Sky,Ilyushin IL-76TD,IL76,Civ,Asks No Questions,Arms Embargo,Fell Of The Back Of An Illyushin,Da Comrade,https://tinyurl.com/yt8u994n,,,,,https://cdn.jetphotos.com/full/5/70698_1623692019.jpg,https://cdn.jetphotos.com/full/6/76970_1623691526.jpg,,
5080B3,UR-ZYD,Maximus Air Cargo,Antonov An-124 100,A124,Civ,Absolute Unit,Asks No Questions,Weapons,Da Comrade,https://en.wikipedia.org/wiki/Antonov_An-124_Ruslan,,,,,https://cdn.jetphotos.com/full/6/11673_1638103414.jpg,https://cdn.jetphotos.com/full/5/16278_1635962352.jpg,https://cdn.jetphotos.com/full/6/61353_1642341371.jpg,
5080DB,UR-BXQ,Maximus Air Cargo,Ilyushin IL-76TD,IL76,Civ,Asks No Questions,Arms Embargo,Fell Of The Back Of An Illyushin,Da Comrade,https://tinyurl.com/yt8u994n,,,,,https://cdn.jetphotos.com/full/5/40986_1639725652.jpg,https://cdn.jetphotos.com/full/6/68966_1627462136.jpg,https://cdn.jetphotos.com/full/6/43474_1625406930.jpg,
508445,UR-CTJ,Meridian,Antonov An-12 BK,AN12,Civ,Ere Me Now,Vashe Zdorovye,Cargo,Da Comrade,https://youtu.be/BDn2iGWE4Ec?t=18,,,,,https://cdn.jetphotos.com/full/5/86914_1641998858.jpg,https://cdn.jetphotos.com/full/5/86914_1641998858.jpg,https://cdn.jetphotos.com/full/5/86914_1641998858.jpg,
50815D,UR-CAJ,Meridian,Antonov An-12 BK,AN12,Civ,Ere Me Now,Vashe Zdorovye,Cargo,Da Comrade,https://youtu.be/BDn2iGWE4Ec?t=18,,,,,https://cdn.jetphotos.com/full/6/14546_1640963915.jpg,https://cdn.jetphotos.com/full/5/79948_1640865759.jpg,https://cdn.jetphotos.com/full/6/15632_1640719439.jpg,
50807B,UR-11316,Motor Sich Aviakompania,Antonov An-12 BK,AN12,Civ,Ere Me Now,Vashe Zdorovye,Cargo,Da Comrade,https://youtu.be/BDn2iGWE4Ec?t=18,,,,,https://cdn.jetphotos.com/full/6/80057_1636232515.jpg,https://cdn.jetphotos.com/full/5/23900_1635496909.jpg,https://cdn.jetphotos.com/full/5/16884_1632777240.jpg,
5080AB,UR-11819,Motor Sich Aviakompania,Antonov An-12 BP,AN12,Civ,Ere Me Now,Vashe Zdorovye,Cargo,Da Comrade,https://youtu.be/BDn2iGWE4Ec?t=18,,,,,https://cdn.jetphotos.com/full/5/17321_1641389011.jpg,https://cdn.jetphotos.com/full/5/74755_1640338471.jpg,https://cdn.jetphotos.com/full/5/10121_1639908953.jpg,
508341,UR-CNT,Ukraine Air Alliance,Antonov An-12 BK,AN12,Civ,Ere Me Now,Vashe Zdorovye,Cargo,Da Comrade,https://youtu.be/BDn2iGWE4Ec?t=18,,,,,https://cdn.jetphotos.com/full/5/50184_1640010534.jpg,https://cdn.jetphotos.com/full/5/23374_1639707915.jpg,https://cdn.jetphotos.com/full/6/95458_1639136433.jpg,
50815B,UR-CAH,Ukraine Air Alliance,Antonov An-12 BK,AN12,Civ,Ere Me Now,Vashe Zdorovye,Cargo,Da Comrade,https://youtu.be/BDn2iGWE4Ec?t=18,,,,,https://cdn.jetphotos.com/full/5/74101_1608230254.jpg,https://cdn.jetphotos.com/full/5/99848_1607346853.jpg,https://cdn.jetphotos.com/full/6/75683_1607117717.jpg,
50855E,UR-CAK,Ukraine Air Alliance,Antonov An-12 BP,AN12,Civ,Ere Me Now,Vashe Zdorovye,Cargo,Da Comrade,https://youtu.be/BDn2iGWE4Ec?t=18,,,,,https://cdn.jetphotos.com/full/6/29683_1632334717.jpg,https://cdn.jetphotos.com/full/6/29263_1631193991.jpg,https://cdn.jetphotos.com/full/5/86413_1630396606.jpg,
508191,UR-CGV,Ukraine Air Alliance,Antonov An-12 BP,AN12,Civ,Ere Me Now,Vashe Zdorovye,Cargo,Da Comrade,https://youtu.be/BDn2iGWE4Ec?t=18,,,,,https://cdn.jetphotos.com/full/5/23772_1641969174.jpg,https://cdn.jetphotos.com/full/5/23772_1641969174.jpg,https://cdn.jetphotos.com/full/6/59353_1642292722.jpg,
508190,UR-CGW,Ukraine Air Alliance,Antonov An-12 BP,AN12,Civ,Ere Me Now,Vashe Zdorovye,Cargo,Da Comrade,https://youtu.be/BDn2iGWE4Ec?t=18,,,,,https://cdn.jetphotos.com/full/5/47397_1640704780.jpg,https://cdn.jetphotos.com/full/6/23368_1638655821.jpg,https://cdn.jetphotos.com/full/6/67371_1637971213.jpg,
5080BB,UR-CZZ,Ukraine Air Alliance,Antonov An-12 TB,AN12,Civ,Ere Me Now,Vashe Zdorovye,Cargo,Da Comrade,https://youtu.be/BDn2iGWE4Ec?t=18,,,,,https://cdn.jetphotos.com/full/6/72845_1641221726.jpg,https://cdn.jetphotos.com/full/6/24181_1638743445.jpg,https://cdn.jetphotos.com/full/6/20501_1638718089.jpg,
5083C0,UR-CQV,Vulkan Air,Antonov An-26 B,AN26,Civ,Got It Where It Counts,Vashe Zdorovye,Curl,Da Comrade,https://vulkanair.com,,,,,https://cdn.jetphotos.com/full/6/85439_1637704545.jpg,https://cdn.jetphotos.com/full/5/10000_1631709851.jpg,https://cdn.jetphotos.com/full/6/65912_1631619189.jpg,
5083A3,UR-CQE,Vulkan Air,Antonov An-26 B,AN26,Civ,Got It Where It Counts,Vashe Zdorovye,Curl,Da Comrade,https://en.wikipedia.org/wiki/Antonov_An-26,,,,,https://cdn.jetphotos.com/full/6/43190_1641425450.jpg,https://cdn.jetphotos.com/full/5/59612_1640630250.jpg,https://cdn.jetphotos.com/full/6/98836_1625283499.jpg,
5083A2,UR-CQD,Vulkan Air,Antonov An-26 B,AN26,Civ,Got It Where It Counts,Vashe Zdorovye,Curl,Da Comrade,https://vulkanair.com,,,,,https://live.staticflickr.com/65535/51492643871_b90eece820_h.jpg,https://live.staticflickr.com/877/40513519590_76a2974418_h.jpg,https://live.staticflickr.com/1760/41921834414_df75bda40c_k.jpg,
508367,UR-CIB,ZetAvia,Ilyushin IL-76TD,IL76,Civ,Asks No Questions,Arms Embargo,Fell Of The Back Of An Illyushin,Da Comrade,https://tinyurl.com/yt8u994n,,,,,https://cdn.jetphotos.com/full/6/16237_1636594858.jpg,https://cdn.jetphotos.com/full/6/21092_1634565881.jpg,https://cdn.jetphotos.com/full/6/19354_1633707833.jpg,
508270,UR-CIG,ZetAvia,Ilyushin IL-76TD,IL76,Civ,Asks No Questions,Arms Embargo,Fell Of The Back Of An Illyushin,Da Comrade,https://tinyurl.com/yt8u994n,,,,,https://cdn.jetphotos.com/full/5/13079_1633885102.jpg,https://cdn.jetphotos.com/full/5/62205_1609584664.jpg,https://cdn.jetphotos.com/full/5/27314_1585348627.jpg,
508473,UR-CTU,ZetAvia,Ilyushin IL-76TD,IL76,Civ,Asks No Questions,Arms Embargo,Fell Of The Back Of An Illyushin,Da Comrade,https://tinyurl.com/yt8u994n,,,,,https://cdn.jetphotos.com/full/6/51800_1642129472.jpg,https://cdn.jetphotos.com/full/5/52684_1640137584.jpg,https://cdn.jetphotos.com/full/5/52992_1640249341.jpg,
50844D,UR-CTO,ZetAvia,Ilyushin IL-76TD,IL76,Civ,Asks No Questions,Arms Embargo,Fell Of The Back Of An Illyushin,Da Comrade,https://tinyurl.com/yt8u994n,,,,,https://cdn.jetphotos.com/full/6/24026_1620718500.jpg,https://cdn.jetphotos.com/full/6/58084_1628779538.jpg,https://cdn.jetphotos.com/full/6/38737_1622457839.jpg,
508056,UR-74026,Motor Sich Aviakompania,Antonov An-74TK-200,AN72,Civ,Odd,Chonky Boy,Cheburashka,Distinctive,https://en.wikipedia.org/wiki/Antonov_An-74,,,,,https://cdn.jetphotos.com/full/6/47939_1634755862.jpg,https://cdn.jetphotos.com/full/5/24309_1616151886.jpg,https://cdn.jetphotos.com/full/6/29163_1613478304.jpg,
