71AA39,HL5239,Geo Surveys Korea,Beech King Air E90,BE9L
C050B7,C-GEOS,Geographic Air Survey Ltd.,Rockwell Turbo Commander 690A,AC90
8805A1,93303,Royal Thai Survey Dept,Beech King Air B200,BE20
8805A2,93304,Royal Thai Survey Dept,Beech King Air B200,BE20
8805A3,93305,Royal Thai Survey Dept,Beech King Air B200,BE20
AAE3BA,N800VB,Aerial Surveys International LLC,Rockwell Turbo Commander 690C,AC90
39CA91,F-HSUR,SAS Pixair Survey,Britten-Norman Islander BN-2A-26,BN2P
00B16F,ZS-SSC,Fugro Airborne Surveys,Reims/Cessna F406 Caravan II,F406
4D02CB,LX-FPP,Aerodata International Surveys,Beech King Air 200T,BE20
00B185,ZS-SSY,Fugro Airborne Surveys,Reims/Cessna F406 Caravan II,F406
39BD17,F-HPIX,SAS Pixair Survey,Britten-Norman Islander BN-2B-27,BN2P
00A575,ZS-OEE,Fugro Airborne Surveys,Reims/Cessna F406 Caravan II,F406
71A911,HL5111,Chung-Ang Aerosurvey,Cessna 208,C208
86D5B5,JA8229,Asia Air Survey,Cessna 208,C208
86EC12,JA8890,Asia Air Survey,Cessna 208,C208
A1D7FA,N218HS,TST Humanitarian Surveys LLC,Cessna 208 B,C208
ABF602,N87WS,Keystone Aerial Surveys Inc,Cessna 441 Conquest II,C441
A54F6B,N441MD,Keystone Aerial Surveys Inc,Cessna 441 Conquest II,C441
A4ACDF,N400CM,Aerial Surveys International LLC,Piper PA-31T Cheyenne,PAY1
A3B152,N337RL,Sunshine Land Survey LLC,Raytheon Aircraft Company King Air B350,B350
71A916,HL5116,Samah Aerial Survey,Cessna 208 B,C208
C0563E,C-GGRD,Fugro Airborne Surveys,Cessna 208 B,C208
71A914,HL5114,Asia Air Survey,Cessna 208 B,C208
845EB8,JA11AJ,Asia Air Survey,Cessna 208,C208
A65921,N508RB,Five Point Aerial Survey,Cessna 208 EX,C208
8034,ZS-ABJ,Geotech Airborne Surveys,Pacific Aerospace PAC750XL,P750
8.47E+03,JA13AJ,Asian Aero Geosurveys,Cessna 208B Grand Caravan,C208
A178A3,N194SM,Surveying And Mapping LLC,Cessna 208B Grand Caravan,C208
8007B9,VT-ELX,Geological Survey of India,de Havilland Canada DHC-6 Twin Otter 300,DHC6
346295,EC-NDX,Aerodata International Surveys,Cessna 421C Golden Eagle,C421
4855F6,PH-PNX,Aerodata International Surveys,Piper PA-31 350 Navajo Chieftain,PA31
485C5B,PH-KIO,Kavel 10 Aerial Surveys,Tecnam P.2006T,P06T
A141DD,N180NE,Junction Medical Office P C,British Aerospace 125 800A,H25B
00817D,ZS-AOA,Netcare 911 Aeromedical Services,British Aerospace 125 800A,H25B
A0DD36,N155ER,Air Medical Charters LLC,Gates Learjet 55 ER,LJ55
